Class;Band1;Band2;Band3;Band4;Band5;Band6;Band7;Band8;Band9;Band10
5;2310;2346;2606;2536;2785;2854;2826;2918;2912;2653
5;1872;1941;1999;2172;2592;2619;2836;2752;2478;2183
5;2198;2296;2362;2522;2682;2795;2609;2898;3122;2751
5;2086;2222;2358;2549;2709;2765;2672;2647;2881;2692
5;2140;2352;2464;2549;2709;2765;2860;2647;2881;2692
5;2120;2332;2442;2428;2534;2578;2750;2623;2816;2553
5;2212;2340;2476;2545;2772;2841;2758;2831;2886;2613
5;1993;2058;2040;2162;2492;2572;2630;2621;2499;2229
5;1850;2020;2032;2162;2492;2572;2615;2621;2499;2229
5;1937;2016;2078;2251;2680;2755;2600;2751;2484;2263
5;2120;2208;2374;2297;2475;2531;2625;2643;2773;2522
5;1846;1922;2050;2063;2438;2577;2382;2713;2742;2395
5;2170;2350;2440;2545;2772;2841;2776;2831;2886;2613
5;1774;2050;2002;2162;2492;2572;2774;2621;2499;2229
5;2128;2302;2510;2266;2703;2801;2852;2816;2571;2275
5;2108;2228;2416;2423;2591;2684;2642;2652;2910;2616
5;2048;2184;2320;2423;2591;2684;2570;2652;2910;2616
5;1960;2204;2228;2412;2677;2738;2675;2713;2769;2480
1;1516;1646;2188;2548;3276;3291;3071;3274;3339;2818
1;1499;1598;2628;2548;3276;3291;3097;3274;3339;2818
5;2160;2258;2454;2610;2779;2815;2870;2881;2912;2636
5;1802;1942;2032;2054;2517;2632;2566;2693;2574;2227
5;2476;2644;2664;2564;2967;3032;3308;3135;2771;2440
5;2102;2206;2334;2422;2694;2753;2652;2823;2871;2577
5;2128;2202;2332;2422;2694;2753;2662;2823;2871;2577
5;2142;2230;2430;2388;2719;2823;2882;2878;2889;2473
1;1586;1708;2332;2548;3276;3291;3984;3274;3339;2818
1;1482;1527;2138;2209;2653;2956;2947;2821;2963;2671
4;1667;1982;2276;2611;3051;3200;3343;3265;3875;3416
4;1650;1994;2316;2599;3000;3173;3338;3223;3835;3353
4;1612;1980;2224;2599;3000;3173;3237;3223;3835;3353
4;1641;1926;2180;2556;2936;3135;3226;3200;3750;3262
4;1624;1939;2212;2556;2936;3135;3136;3200;3750;3262
4;1574;1838;2104;2485;2815;2948;3042;3044;3640;3213
5;2092;2318;2338;2610;2779;2815;2907;2881;2912;2636
5;1968;1960;2066;2236;2626;2704;2528;2760;2524;2271
5;2332;2412;2524;2564;2967;3032;3353;3135;2771;2440
5;2112;2242;2342;2352;2612;2745;2669;2801;2932;2568
5;1988;2066;2238;2388;2719;2823;2772;2878;2889;2473
4;1513;1774;2008;2364;2815;2997;3072;3042;3518;3055
4;1511;1744;1974;2229;2737;2905;3010;2964;3431;2958
4;1462;1708;1891;2229;2737;2905;3019;2964;3431;2958
4;1461;1708;1821;2212;2765;2898;3068;3019;3412;2885
4;1472;1692;1821;2212;2765;2898;3070;3019;3412;2885
4;1467;1682;1802;2208;2856;3007;3105;3111;3402;2859
4;1500;1705;1864;2208;2856;3007;3223;3111;3402;2859
4;1444;1693;1860;2268;2852;3096;3226;3165;3432;2856
4;1472;1714;1874;2268;2852;3096;3182;3165;3432;2856
4;1432;1644;1792;2174;2714;2898;2920;2928;3255;2775
2;1449;1724;1692;2237;3326;3523;3690;3671;3264;2504
4;1615;1888;2110;2545;3040;3155;3226;3250;3766;3200
4;1606;1888;2116;2543;3042;3201;3280;3259;3731;3206
4;1608;1936;2152;2543;3042;3201;3281;3259;3731;3206
4;1628;1975;2208;2558;3066;3184;3357;3240;3748;3234
4;1639;1942;2216;2558;3066;3184;3324;3240;3748;3234
4;1639;1930;2174;2607;3034;3149;3278;3272;3825;3314
4;1641;1968;2222;2607;3034;3149;3300;3272;3825;3314
4;1636;2008;2236;2602;3030;3209;3292;3221;3782;3289
4;1612;1936;2150;2602;3030;3209;3166;3221;3782;3289
4;1600;1896;2136;2445;2908;3065;3178;3134;3629;3133
4;1592;1882;2116;2445;2908;3065;3136;3134;3629;3133
4;1578;1831;2028;2393;2786;2919;2978;2995;3506;3015
4;1544;1811;1996;2393;2786;2919;2910;2995;3506;3015
5;2184;2340;2472;2536;2850;2942;2798;3023;2908;2652
5;1900;2134;2060;2066;2484;2652;2540;2742;2539;2240
5;2418;2506;2674;2630;2753;2837;3056;2875;2868;2584
5;2094;2176;2296;2277;2587;2743;2579;2586;2709;2459
5;2166;2270;2370;2382;2948;3020;2746;3111;2898;2536
5;2032;2316;2332;2300;2743;2865;2908;2927;2947;2489
4;1540;1780;2022;2364;2815;2997;3019;3042;3518;3055
4;1520;1752;1970;2229;2737;2905;2948;2964;3431;2958
4;1449;1712;1919;2229;2737;2905;2957;2964;3431;2958
4;1454;1704;1910;2212;2765;2898;3039;3019;3412;2885
4;1447;1708;1885;2212;2765;2898;3024;3019;3412;2885
4;1440;1696;1839;2208;2856;3007;3023;3111;3402;2859
4;1459;1710;1866;2208;2856;3007;3158;3111;3402;2859
